 table_schema |        table_name        
--------------+--------------------------
 zakops       | Account
 zakops       | Session
 zakops       | _prisma_migrations
 zakops       | actions
 zakops       | agent_context
 zakops       | agent_context_summaries
 zakops       | agent_deal_metadata
 zakops       | agent_initiated_actions
 zakops       | agent_reasoning_chains
 zakops       | agent_runs
 zakops       | agent_tool_calls
 zakops       | annotation_queue_items
 zakops       | annotation_queues
 zakops       | api_keys
 zakops       | audit_logs
 zakops       | background_migrations
 zakops       | batch_exports
 zakops       | comments
 zakops       | cron_jobs
 zakops       | dataset_items
 zakops       | dataset_run_items
 zakops       | dataset_runs
 zakops       | datasets
 zakops       | deal_aliases
 zakops       | deal_events
 zakops       | deal_transitions
 zakops       | deals
 zakops       | email_accounts
 zakops       | email_messages
 zakops       | email_threads
 zakops       | eval_templates
 zakops       | events
 zakops       | idempotency_keys
 zakops       | inbox
 zakops       | job_configurations
 zakops       | job_executions
 zakops       | llm_api_keys
 zakops       | media
 zakops       | membership_invitations
 zakops       | models
 zakops       | oauth_states
 zakops       | observation_media
 zakops       | observations
 zakops       | observations_view
 zakops       | operators
 zakops       | organization_memberships
 zakops       | organizations
 zakops       | outbox
 zakops       | posthog_integrations
 zakops       | prices
 zakops       | project_memberships
 zakops       | projects
 zakops       | prompts
 zakops       | quarantine_items
 zakops       | schema_migrations
 zakops       | score_configs
 zakops       | scores
 zakops       | sender_profiles
 zakops       | sse_connections
 zakops       | sso_configs
 zakops       | trace_media
 zakops       | trace_sessions
 zakops       | traces
 zakops       | traces_view
 zakops       | users
 zakops       | v_agent_deal_activity
 zakops       | v_pending_tool_approvals
 zakops       | v_pipeline_summary
 zakops       | verification_tokens
(69 rows)

