== Docker containers (ports view) ==
NAMES                    IMAGE                                STATUS                PORTS
zakops-backend-1         zakops-backend                       Up 7 days (healthy)   0.0.0.0:8091->8091/tcp, [::]:8091->8091/tcp
zakops-agent-api         zakops-agent-api                     Up 7 days (healthy)   0.0.0.0:8095->8000/tcp, [::]:8095->8000/tcp
zakops-outbox-worker-1   zakops-outbox-worker                 Up 7 days (healthy)   8091/tcp
zakops-postgres-1        postgres:15-alpine                   Up 7 days (healthy)   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
zakops-redis-1           redis:7-alpine                       Up 7 days (healthy)   0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
zakops-agent-db          pgvector/pgvector:pg16               Up 7 days (healthy)   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
openwebui                ghcr.io/open-webui/open-webui:main   Up 7 days (healthy)   0.0.0.0:3000->8080/tcp, [::]:3000->8080/tcp
vllm-qwen                vllm/vllm-openai:latest              Up 7 days             0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp
rag-rest-api             zaks-llm-rag-rest-api                Up 7 days             0.0.0.0:8052->8080/tcp, [::]:8052->8080/tcp
rag-db                   pgvector/pgvector:pg17               Up 7 days             0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp
