== Docker volumes ==
DRIVER    VOLUME NAME
local     3f5510cf4de2a5619e9c59b8aabe0eda246111d1cf21741db864db5e92a35ff3
local     agent-api_agent-postgres-data
local     crawl4ai-rag_postgres_data
local     docker_grafana-data
local     docker_loki-data
local     docker_postgres-data
local     docker_prometheus-data
local     docker_redis-data
local     open-webui
local     zakops_postgres_data
local     zakops_redis_data
local     zaks-llm_chroma-data
local     zaks-llm_mcp-browser-use-data
local     zaks-llm_open-webui
local     zaks_chroma-data
local     zaks_open-webui
